1 50000000 0.125789 0.125082
1 99500000 0.250799 0.252102
1 149000000 0.375702 0.373852
1 198500000 0.500286 0.495779
1 248000000 0.625368 0.624563
1 297500000 0.749820 0.754195
1 347000000 0.871031 0.872778
1 396500000 0.988260 0.988771
1 446000000 1.124685 1.127965
1 495500000 1.248371 1.235755
2 50000000 0.124923 0.062987
2 99500000 0.249779 0.126085
2 149000000 0.374653 0.186646
2 198500000 0.495914 0.250988
2 248000000 0.618776 0.312359
2 297500000 0.745791 0.376027
2 347000000 0.865171 0.434756
2 396500000 1.000800 0.499690
2 446000000 1.114543 0.559425
2 495500000 1.234908 0.625514
3 50000000 0.127142 0.044776
3 99500000 0.248946 0.094037
3 149000000 0.375969 0.129911
3 198500000 0.496776 0.178834
3 248000000 0.628030 0.220570
3 297500000 0.744337 0.256625
3 347000000 0.877518 0.300739
3 396500000 0.988561 0.339323
3 446000000 1.115824 0.380758
3 495500000 1.249016 0.431099
4 50000000 0.131431 0.039054
4 99500000 0.251076 0.068891
4 149000000 0.375091 0.101612
4 198500000 0.496266 0.135699
4 248000000 0.618565 0.190911
4 297500000 0.741154 0.199672
4 347000000 0.870058 0.232423
4 396500000 0.995063 0.267440
4 446000000 1.125972 0.299143
4 495500000 1.248656 0.328202
1 50000000 0.125180 0.126092
1 99500000 0.249698 0.248051
1 149000000 0.372409 0.371366
1 198500000 0.495064 0.495224
1 248000000 0.624110 0.618778
1 297500000 0.739705 0.750331
1 347000000 0.877219 0.868563
1 396500000 0.996871 0.992115
1 446000000 1.121803 1.111512
1 495500000 1.255065 1.240541
2 50000000 0.125728 0.063168
2 99500000 0.247361 0.125023
2 149000000 0.371239 0.191562
2 198500000 0.500934 0.251975
2 248000000 0.623572 0.312548
2 297500000 0.740316 0.377118
2 347000000 0.877403 0.439000
2 396500000 0.988224 0.501850
2 446000000 1.126422 0.567088
2 495500000 1.251376 0.625722
3 50000000 0.126670 0.049740
3 99500000 0.251155 0.093846
3 149000000 0.371170 0.127624
3 198500000 0.494759 0.172496
3 248000000 0.625821 0.216796
3 297500000 0.747395 0.255622
3 347000000 0.869706 0.298481
3 396500000 0.995867 0.340762
3 446000000 1.124466 0.383226
3 495500000 1.246959 0.423091
4 50000000 0.125686 0.035021
4 99500000 0.251546 0.071600
4 149000000 0.371221 0.100497
4 198500000 0.497906 0.134317
4 248000000 0.618421 0.165900
4 297500000 0.749109 0.196733
4 347000000 0.878905 0.235440
4 396500000 0.998200 0.284065
4 446000000 1.118821 0.311407
4 495500000 1.238124 0.319952
1 50000000 0.124762 0.124669
1 99500000 0.247716 0.247710
1 149000000 0.368409 0.367690
1 198500000 0.494652 0.496160
1 248000000 0.614606 0.612819
1 297500000 0.733546 0.747402
1 347000000 0.865021 0.857348
1 396500000 0.978917 0.978504
1 446000000 1.114513 1.101604
