2000 14233077 1240737 10355578 1240737
2064 15138332 1317081 11008493 1317081
2128 16094741 1395760 11704650 1395760
2192 17039302 1476985 12380947 1476985
2256 18019722 1560480 13085277 1560480
2320 19118719 1645518 13900137 1645518
2384 20146984 1733584 14636310 1733584
2448 21315956 1862035 15507382 1862035
2512 22440846 1955551 16324440 1955551
2576 23574017 2051103 17141704 2051103
2640 24763926 2148995 18007802 2148995
2704 25932402 2249528 18844440 2249528
2768 27138776 2352316 19711180 2352316
2832 28483865 2456470 20708573 2456470
2896 29736100 2563857 21605149 2563857
2960 31152874 2719597 22660905 2719597
3024 32509622 2832304 23646277 2832304
