2000 5525942 900149 1590918 900149
2064 5901076 956456 1705460 956456
2128 6290339 1014449 1830425 1014449
2192 6650616 1074328 1918308 1074328
2256 7029741 1135854 2017035 1135854
2320 7511330 1198728 2210116 1198728
2384 7904609 1263728 2306817 1263728
2448 8422390 1369123 2522254 1369123
2512 8838798 1438551 2625985 1438551
2576 9305896 1509535 2772307 1509535
2640 9743026 1582369 2880630 1582369
2704 10190294 1656952 2991015 1656952
2768 10647576 1733271 3103400 1733271
2832 11114734 1811193 3217518 1811193
2896 11591916 1890873 3333592 1890873
2960 12079106 1972298 3451597 1972298
3024 12624410 2055308 3619660 2055308
