2000 26561214 3012078 23044403 3012078
2064 28353014 3222175 24607996 3222175
2128 30069572 3409947 26088284 3409947
2192 31974215 3633273 27750348 3633273
2256 33795573 3832476 29321008 3832476
2320 35813048 4069048 31081532 4069048
2384 37739215 4279745 32742573 4279745
2448 39869568 4529556 34601603 4529556
2512 41900503 4751686 36352984 4751686
2576 44143680 5014695 38310466 5014695
2640 46279445 5248325 40152249 5248325
2704 48635453 5524565 42208190 5524565
2768 50876024 5769659 44140351 5769659
2832 53344860 6059130 46294748 6059130
2896 55690223 6315655 48317273 6315655
2960 58271901 6618364 50570140 6618364
3024 60722111 6886378 52683084 6886378
