256	0.0727773	16939038	82615.9	0.0440449	2182644	33501
272	0.064331	20941311	93181	0.0523355	2609573	37734.5
288	0.0781662	25493927	104387	0.0621931	3095752	42223
304	0.0898081	31552142	116233	0.0728996	3636284	46967
320	0.118573	33926044	128719	0.0852416	4229208	51967
336	0.121987	42668731	141845	0.0987552	4893169	57223
352	0.143713	46571574	155611	0.1131	5614294	62735
368	0.159802	56135395	170017	0.128046	6410774	68503
384	0.239727	57648548	185063	0.146074	7267106	74527
400	0.204273	72172261	200749	0.164072	8213700	80807
416	0.243785	76906317	217076	0.184853	9224743	87343
432	0.25978	91004593	234042	0.2064	10326538	94136
448	0.354967	93089051	251650	0.229997	11497553	101184
464	0.323141	112856891	269896	0.255861	1.27739e+07	108489
480	0.382818	118178533	288782	0.282134	14123652	116049
496	0.398011	137952118	308308	0.311207	15580278	123865
512	0.587641	134851349	328474	0.342298	17109406	131938
