517	0.480408	0.158043	1	3.03973
581	0.694667	0.210350	1	3.30243
645	0.940614	0.283984	1	3.31221
709	1.283825	0.381066	1	3.36904
773	1.584795	0.525178	1	3.01763
837	2.785995	0.704695	1	3.95348
901	3.388808	1.088659	1	3.11283
965	4.413945	1.539304	1	2.86749
1029	5.617566	1.959618	1	2.86666
1093	7.009239	2.387973	1	2.93523
1157	8.679691	2.874983	1	3.01904
1221	11.017498	3.362898	1	3.27619
1285	15.413753	4.387508	1	3.5131
1349	15.258928	4.595207	1	3.32062
1413	18.557728	5.284564	1	3.51169
1477	21.470794	6.039716	1	3.55493
1541	25.368719	6.944667	1	3.65298
517	0.493872	0.151542	1	3.25898
581	0.700118	0.235239	1	2.9762
645	0.948728	0.282782	1	3.35498
709	1.312714	0.386175	1	3.39927
773	1.846062	0.544862	1	3.38813
837	2.403675	0.706619	1	3.40166
901	3.061095	1.089513	1	2.8096
965	4.420333	1.535155	1	2.87941
1029	5.712617	1.953071	1	2.92494
1093	7.047252	2.408984	1	2.9254
1157	8.771564	2.876419	1	3.04947
1221	10.987545	3.358732	1	3.27134
1285	15.430104	4.397320	1	3.50898
1349	15.715692	4.653956	1	3.37685
1413	18.037079	5.309794	1	3.39695
1477	21.770326	6.037690	1	3.60574
1541	24.684487	6.945561	1	3.55399
517	0.492251	0.153588	1	3.20501
581	0.705780	0.210755	1	3.34882
645	0.959325	0.289274	1	3.31632
709	1.302455	0.382697	1	3.40336
773	1.890216	0.459974	1	4.1094
837	2.453280	0.813033	1	3.01744
901	3.318336	1.107015	1	2.99755
965	4.457223	1.543010	1	2.88865
1029	5.617612	1.956482	1	2.87128
1093	7.038032	2.407265	1	2.92366
1157	8.854887	2.863643	1	3.09218
1221	11.013820	3.355867	1	3.28196
1285	15.377466	4.397629	1	3.49676
1349	15.241582	4.594752	1	3.31717
1413	18.708107	5.281749	1	3.54203
1477	21.389278	6.033764	1	3.54493
1541	24.765095	6.935278	1	3.57089
517	0.499151	0.158955	1	3.1402
581	0.744780	0.212741	1	3.50088
645	0.947560	0.301184	1	3.14612
709	1.291616	0.388147	1	3.32765
773	1.829251	0.471126	1	3.88272
837	2.453289	0.810362	1	3.0274
901	3.364741	1.108327	1	3.03587
965	4.363213	1.521520	1	2.86767
1029	5.674000	1.970211	1	2.87989
1093	7.133505	2.391069	1	2.9834
1157	8.954662	3.070412	1	2.91644
1221	10.579606	3.386226	1	3.12431
1285	15.095890	4.386844	1	3.44117
1349	15.047569	4.790461	1	3.14115
1413	19.271927	5.332930	1	3.61376
1477	21.098676	6.117341	1	3.44899
1541	25.347439	7.015783	1	3.61292
517	0.488542	0.148545	1	3.28885
581	0.697723	0.212841	1	3.27814
645	0.954205	0.287658	1	3.31715
709	1.474002	0.390336	1	3.77624
773	1.874573	0.567632	1	3.30244
837	2.555649	0.722269	1	3.53836
901	3.371490	1.113173	1	3.02872
965	4.424364	1.557227	1	2.84118
1029	5.677951	1.987084	1	2.85743
1093	7.181274	2.403826	1	2.98744
1157	8.858973	2.899584	1	3.05526
1221	11.218544	3.438339	1	3.26278
1285	15.314713	4.478378	1	3.4197
1349	15.403848	4.636986	1	3.32195
1413	18.415524	5.367921	1	3.43066
1477	21.876191	6.044266	1	3.61933
1541	25.120728	7.022994	1	3.57693
