517	0.521266	0.168084	1	3.10161
581	0.740725	0.213362	1	3.47268
645	1.02632	0.411789	1	2.4913
709	1.43111	0.399813	1	3.57966
773	2.00008	0.522016	1	3.86724
837	2.62452	0.934094	1	2.83577
901	3.81161	1.21833	1	3.13103
965	4.85437	1.7043	1	2.85304
1029	6.16184	2.09211	1	2.94361
1093	7.56794	2.5419	1	2.98114
1157	9.37901	3.05705	1	3.07035
1221	11.3003	3.7103	1	3.06652
1285	15.3825	4.39386	1	3.50092
1349	15.4257	4.5987	1	3.35436
1413	19.0397	5.2803	1	3.6058
1477	21.8046	6.06134	1	3.59737
1541	25.4538	6.94301	1	3.6661
